date,PM25,PM10,O3,SO2,NO2,CO,AQI,grade,factor
2015-01-01,52,63,31,29,55,18,63,良,PM10
2014-12-31,134,105,30,41,84,28,134,轻度污染,PM2.5
2014-12-30,172,112,25,48,115,40,172,中度污染,PM2.5
2014-12-29,193,126,29,51,111,43,193,中度污染,PM2.5
2014-12-28,95,76,24,30,101,27,101,轻度污染,NO2
2014-12-27,32,38,30,21,63,15,63,良,NO2
2014-12-26,32,38,32,17,59,15,59,良,NO2
2014-12-25,50,41,33,16,47,18,50,优,-
2014-12-24,178,115,23,55,109,43,178,中度污染,PM2.5
2014-12-23,83,74,29,25,90,28,90,良,NO2
2014-12-22,103,85,19,46,94,30,103,轻度污染,PM2.5
2014-12-21,89,78,17,43,72,26,89,良,PM2.5
2014-12-20,72,68,30,28,68,23,72,良,PM2.5
2014-12-19,94,81,7,32,105,29,105,轻度污染,NO2
2014-12-18,90,85,22,30,100,34,100,良,NO2
2014-12-17,63,80,24,38,77,25,80,良,PM10
2014-12-16,100,107,23,41,69,25,107,轻度污染,PM10
2014-12-15,112,90,12,39,104,32,112,轻度污染,PM2.5
2014-12-14,110,88,24,39,103,34,110,轻度污染,PM2.5
2014-12-13,97,90,22,50,95,33,97,良,PM2.5
2014-12-12,99,96,19,43,84,27,99,良,PM2.5
2014-12-11,104,87,26,22,57,23,104,轻度污染,PM2.5
2014-12-10,78,65,8,22,95,24,95,良,NO2
2014-12-09,43,44,32,15,63,13,63,良,NO2
2014-12-08,130,88,35,35,77,26,130,轻度污染,PM2.5
2014-12-07,105,86,20,35,107,29,107,轻度污染,NO2
2014-12-06,110,85,23,49,104,30,110,轻度污染,PM2.5
2014-12-05,100,86,26,48,92,28,100,良,PM2.5
2014-12-04,113,89,22,51,89,31,113,轻度污染,PM2.5
2014-12-03,77,68,12,29,94,26,94,良,NO2
2014-12-02,54,67,25,30,75,23,75,良,NO2
2014-12-01,70,86,30,25,45,22,86,良,PM10
2014-11-30,55,37,24,13,50,29,55,良,PM2.5
2014-11-29,58,49,33,13,59,23,59,良,NO2
2014-11-28,82,58,21,16,64,30,82,良,PM2.5
2014-11-27,30,46,42,11,63,15,63,良,NO2
2014-11-26,60,61,33,17,74,20,74,良,NO2
2014-11-25,39,50,36,12,48,15,50,优,-
2014-11-24,40,31,30,11,52,15,52,良,NO2
2014-11-23,50,38,35,11,53,13,53,良,NO2
2014-11-22,94,62,24,16,90,22,94,良,PM2.5
2014-11-21,53,53,44,13,70,16,70,良,NO2
2014-11-20,45,50,45,12,69,14,69,良,NO2
2014-11-19,49,44,45,14,73,15,73,良,NO2
2014-11-18,82,62,48,22,70,21,82,良,PM2.5
2014-11-17,153,88,49,29,64,25,153,中度污染,PM2.5
2014-11-16,90,60,27,14,73,21,90,良,PM2.5
2014-11-15,52,57,48,14,69,17,69,良,NO2
2014-11-14,64,68,42,25,102,21,102,轻度污染,NO2
2014-11-13,43,62,37,21,64,16,64,良,NO2
2014-11-12,172,103,35,35,82,33,172,中度污染,PM2.5
2014-11-11,79,68,45,21,98,20,98,良,NO2
2014-11-10,83,62,55,20,52,21,83,良,PM2.5
2014-11-09,52,51,52,17,40,17,52,良,PM2.5
2014-11-08,35,37,34,12,47,14,47,优,-
2014-11-07,55,51,48,14,42,15,55,良,PM2.5
2014-11-06,175,103,88,26,83,30,175,中度污染,PM2.5
