location,skillset,age,dayRate,yearsFreelance,charge,requestDeposit,workRelationships,gender,dayRateCat
London,mixed,25-29,200,6-9,Varies per project,notUsually,mixed,?,200-299
South West,DES,20-24,£200,0-1,By the hour,25-50%,direct,Male,200-299
North West,mixed,25-29,200,0-1,By the hour,50+%,mixed,Male,200-299
East of England,DEV,20-24,£200,0-1,Varies per project,25-50%,mixed,Male,200-299
East of England,DEV,25-29,£200,0-1,By the project,notUsually,agencies,Male,200-299
London,mixed,20-24,£200,0-1,By the day,10-25%,agencies,Female,200-299
South East,DEV,40-44,£200,6-9,By the project,10-25%,direct,Male,200-299
South West,DES,25-29,£200,0-1,Varies per project,notUsually,direct,Female,200-299
South West,mixed,30-34,200,2-5,By the project,25-50%,direct,Male,200-299
North West,DEV,25-29,200,6-9,Varies per project,notUsually,mixed,Male,200-299
North East,mixed,40-44,£200,2-5,Varies per project,10-25%,mixed,Male,200-299
Yorkshire & The Humber,DEV,30-34,£200,6-9,By the hour,notUsually,mixed,Male,200-299
London,DEV,40-44,200,6-9,By the month,fixed,direct,Male,200-299
South East,mixed,25-29,200,2-5,By the day,notUsually,agencies,Male,200-299
London,DEV,20-24,200,0-1,By the day,25-50%,mixed,Male,200-299
London,DES,25-29,200,2-5,By the day,notUsually,direct,Male,200-299
West Midlands,DEV,35-39,200,2-5,Varies per project,notUsually,direct,Male,200-299
East of England,DEV,45+,200,10-13,By the project,notUsually,direct,Male,200-299
Wales,DEV,40-44,£200,2-5,By the project,25-50%,direct,Male,200-299
South East,DEV,25-29,200,2-5,By the hour,25-50%,direct,Male,200-299
London,DEV,30-34,200,2-5,By the project,fixed,direct,Male,200-299
East of England,DES,30-34,200,0-1,By the hour,10-25%,direct,Male,200-299
East Midlands,DEV,35-39,200,10-13,By the project,25-50%,direct,Male,200-299
Scotland,DEV,35-39,£200,2-5,By the day,notUsually,mixed,Male,200-299
North East,DES,25-29,200,0-1,By the hour,notUsually,direct,Male,200-299
East of England,DEV,35-39,200,6-9,By the hour,25-50%,direct,Male,200-299
West Midlands,mixed,25-29,£200,0-1,By the hour,10-25%,direct,Male,200-299
South East,DES,15-19,£200,0-1,By the project,50+%,mixed,Male,200-299
?,DES,35-39,200,?,?,?,?,?,200-299
Yorkshire & The Humber,mixed,35-39,£200,2-5,By the hour,25-50%,mixed,Male,200-299
South West,DEV,25-29,200,2-5,Varies per project,25-50%,mixed,Male,200-299
London,mixed,25-29,200,2-5,By the project,50+%,direct,Male,200-299
Northern Ireland,mixed,25-29,200,2-5,By the hour,25-50%,mixed,Female,200-299
South West,DES,25-29,£200,0-1,By the hour,notUsually,direct,Female,200-299
South East,mixed,20-24,200,2-5,By the hour,notUsually,direct,Male,200-299
South East,mixed,35-39,200,6-9,By the day,notUsually,direct,Male,200-299
North West,mixed,35-39,£210,0-1,By the project,notUsually,agencies,Male,200-299
West Midlands,DEV,35-39,210,2-5,Varies per project,25-50%,mixed,Male,200-299
West Midlands,mixed,25-29,210,0-1,By the day,notUsually,agencies,Male,200-299
South West,mixed,25-29,216,10-13,By the hour,notUsually,mixed,Male,200-299
South East,DEV,30-34,220,2-5,Varies per project,notUsually,mixed,Female,200-299
Scotland,mixed,25-29,220,0-1,By the hour,25-50%,mixed,Male,200-299
Yorkshire & The Humber,DEV,30-34,220,0-1,By the day,notUsually,direct,Male,200-299
North West,mixed,30-34,220,2-5,By the project,25-50%,mixed,Male,200-299
Wales,DEV,35-39,225,2-5,By the project,10-25%,agencies,Female,200-299
North West,DEV,35-39,225,2-5,By the project,50+%,freelancers,Male,200-299
Scotland,mixed,30-34,227,0-1,By the week,25-50%,mixed,Male,200-299
South West,DEV,40-44,230,0-1,By the hour,25-50%,direct,Male,200-299
South West,DES,45+,230,10-13,By the day,notUsually,direct,Male,200-299
Wales,mixed,40-44,234,2-5,By the project,25-50%,direct,Male,200-299
Northern Ireland,mixed,30-34,240,2-5,By the day,25-50%,direct,Male,200-299
London,DEV,25-29,240,2-5,By the month,notUsually,direct,Male,200-299
London,mixed,20-24,240,2-5,By the day,25-50%,direct,Male,200-299
Yorkshire & The Humber,DEV,20-24,240,0-1,By the week,25-50%,mixed,Male,200-299
South West,DEV,30-34,240,10-13,By the hour,10-25%,mixed,Male,200-299
South West,mixed,20-24,£240,2-5,Varies per project,25-50%,direct,Male,200-299
Wales,DEV,20-24,240,10-13,Varies per project,25-50%,mixed,Male,200-299
South East,DES,20-24,£240,0-1,By the hour,50+%,direct,Female,200-299
West Midlands,mixed,25-29,240,2-5,By the project,50+%,mixed,Female,200-299
South East,DEV,45+,240,6-9,Varies per project,notUsually,direct,Male,200-299
South East,mixed,45+,240,18+,By the project,25-50%,direct,Male,200-299
London,DES,25-29,$240,6-9,By the hour,0-10%,direct,Male,100-199
London,mixed,25-29,240,2-5,By the hour,25-50%,mixed,Male,200-299
South West,mixed,20-24,240,2-5,By the hour,50+%,freelancers,Male,200-299
London,mixed,25-29,240,0-1,By the day,10-25%,direct,Male,200-299
