id,shopName,shopAddress
1,肯德基松江叶榭餐厅,叶榭镇求仁路149号1层
1,肯德基松江松汇中路店餐厅,松江区松汇中路568号沃尔玛2楼
1,肯德基松江阳光港餐厅,佘山林湖路888号-1阳光港区9号
1,肯德基松江谷阳餐厅,松汇中路568号上海鹿都商业广场
1,肯德基松江上海滩餐厅,佘山林湖路888号-1上海滩区5号
1,肯德基松江泗宝餐厅,泗泾镇横港路61号
1,肯德基松江湘城餐厅,梅家浜路1500弄101号
1,肯德基松江亭坊餐厅,九亭镇涞坊路589号
1,肯德基松江车墩餐厅,车墩镇影维路258弄2号一、二层
1,肯德基松江沪松DT餐厅,松江荣乐东路605号2层
1,肯德基松江松江餐厅,松江县中山中路99号
1,肯德基松江方舟餐厅,荣乐中路8号
1,肯德基松江大学城餐厅,文汇路818号
1,肯德基松江松江万达店餐厅,广富林路658弄松江万达广场2002号商铺
1,肯德基松江江川店餐厅,泗泾镇江川北路263、265号
1,肯德基徐汇港汇店餐厅,虹桥路1号港汇广场5楼536商铺
1,肯德基徐汇美罗店餐厅,肇嘉浜路1111号美罗城(近漕溪北路)
1,肯德基徐汇上海南站一店餐厅,石龙路750-3号银泰购物中心南2-A18(近上海南站)
1,肯德基徐汇上海南站二店餐厅,上海南站换乘通道内
1,肯德基徐汇上海南站三店餐厅,地铁一号线上海南站站出站口
1,肯德基徐汇田林餐厅,田林路1号
1,肯德基徐汇徐家汇太平洋店餐厅,衡山路932号太平洋百货B1楼(近华山路)
1,肯德基徐汇钦州餐厅,桂林路39号
1,肯德基徐汇永隆餐厅,淮海中路1298号
1,肯德基徐汇南丹餐厅,天钥桥路333号
1,肯德基徐汇桂林餐厅,田林路103号
1,肯德基徐汇龙漕店餐厅,轻轨3号线龙漕路地铁站1楼(近龙吴路)
1,肯德基徐汇宜山路站店餐厅,地铁三号线宜山路站1楼
1,肯德基徐汇海光餐厅,大木桥路370号
1,肯德基徐汇汇金餐厅,肇嘉浜路998号
1,肯德基徐汇辛耕餐厅,天钥桥路123号
1,肯德基徐汇船厂路店餐厅,船厂路178号(近中山南二路号
1,肯德基徐汇凌云路店餐厅,凌云路402号(近梅陇路)
1,肯德基徐汇虹梅地铁餐厅,沪闵路8073号
1,肯德基徐汇龙华路店(暂停营业)餐厅,龙华路2838号(近龙华寺)
1,肯德基徐汇体育场餐厅,天钥桥路666号
1,肯德基徐汇宜山路店餐厅,宜山路586号(近钦州路号
1,肯德基徐汇龙临路店餐厅,龙临路157号(罗香路口)
1,肯德基徐汇东安路店餐厅,徐汇区四号线七号线东安路站台内
1,肯德基徐汇番禺路店餐厅,徐汇区番禺路868号
1,肯德基徐汇港汇二店餐厅,徐汇区虹桥路1号港汇恒隆广场1楼B108号商铺
1,肯德基徐汇漕溪路站店餐厅,徐汇区地铁三号线漕溪路站吉美臣商场1楼
1,肯德基徐汇石龙路店餐厅,徐汇区石龙路728号
1,肯德基徐汇漕东餐厅,轻轨3号线漕溪站1楼
1,肯德基徐汇光启城店餐厅,徐汇区宜山路425号光启城购物中心B1楼
1,肯德基徐汇光大餐厅,漕宝路78号
1,肯德基徐汇中金餐厅,漕溪北路339号地下一层
